N,loss_mean,loss_std,all_losses
1,9.805191e-03,1.125355e-03,"[0.012279736404042124, 0.00921237665216901, 0.010206481066021289, 0.009490077368427061, 0.00965039194537143, 0.00802839282933923, 0.009459451634859645, 0.010114616802293957]"
2,8.592451e-03,8.117950e-04,"[0.009524376577885988, 0.008498306891119304, 0.009613756979053938, 0.008310566144455273, 0.008675752746677604, 0.006923389858598469, 0.00810710136476376, 0.009086361086992152]"
4,7.935118e-03,9.054973e-04,"[0.007720034150555763, 0.007865998330111897, 0.009925992473654149, 0.007544703298115675, 0.007864694395890715, 0.0064072423396005235, 0.007994829661434841, 0.008157448434250003]"
6,7.676718e-03,6.104816e-04,"[0.0075264495132005334, 0.007674517364067192, 0.008824581079825916, 0.007074595379221152, 0.007743819318510771, 0.0066348684294762735, 0.007868041928326443, 0.00806686900905409]"
8,7.573291e-03,7.549418e-04,"[0.007456496910122312, 0.007419112911304617, 0.008718031826103265, 0.006973111626512372, 0.007694419504158993, 0.006245153613136419, 0.007475561133298294, 0.008604439043298684]"
10,7.478758e-03,7.309942e-04,"[0.0071861815008187275, 0.007372509513102176, 0.008561897376807428, 0.00695609899211345, 0.007644071510790545, 0.006161754183853613, 0.0074840568413142294, 0.00846349724822707]"
12,7.420597e-03,6.995609e-04,"[0.007082122072344276, 0.007402138070165807, 0.008443827997645207, 0.0069495441375525355, 0.007666366791005362, 0.006109735639801949, 0.007422963620342567, 0.008288075378319304]"
14,7.404231e-03,6.742096e-04,"[0.007222727228367141, 0.0073062482981160375, 0.008413336343121643, 0.006966383827347674, 0.007588793582330864, 0.00609739221699446, 0.007434018101795866, 0.008204944402880457]"
16,7.389914e-03,6.529171e-04,"[0.007166117026865811, 0.007330417771455957, 0.008393370358094912, 0.006965103410435758, 0.007595697064200932, 0.006115644710738843, 0.007456784740795766, 0.008096179833755412]"
18,7.370295e-03,6.392023e-04,"[0.007187568284331374, 0.00740462818944078, 0.008356097635604715, 0.006944818233491381, 0.00747342072206843, 0.006103612801199725, 0.007443085047732331, 0.008049128431484521]"
20,7.341490e-03,6.414081e-04,"[0.00707855364154693, 0.007309877045876479, 0.008330455972425335, 0.0069828610572151145, 0.007392174899481168, 0.0061107201368524305, 0.00741675781316337, 0.008110517193642867]"
